ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
300705.SZ,20260304,15.4993,2.7576,2.3811,726923.0061,535994.219
002624.SZ,20260304,,5.5957,5.732,3963355.4494,3734058.6028
000987.SZ,20260304,12.538,1.4408,3.5224,4495350.686,4492924.9559
002265.SZ,20260304,229.9888,6.7201,6.5042,2453470.9666,2453470.9666
603901.SH,20260304,107.3087,2.405,1.6916,683416.0958,635860.9931
001366.SZ,20260304,,2.7606,1.7492,221577.72,76782.72
601608.SH,20260304,87.8543,3.566,4.0895,3297278.4746,3297278.4746
000886.SZ,20260304,560.4231,2.015,14.8092,610107.0611,603325.3661
601968.SH,20260304,37.8393,1.6042,0.8278,723366.9538,723366.9538
000801.SZ,20260304,95.3754,5.7787,3.8365,1644413.4601,1644413.4601
601021.SH,20260304,24.5631,2.7718,2.3673,4922973.7845,4922973.7845
000665.SZ,20260304,,1.4391,4.0769,577671.9435,577656.8482
688545.SH,20260304,93.9529,6.6065,13.2433,1953360.0,988888.5
688295.SH,20260304,281.6626,5.7656,12.401,2722500.0,2722500.0
688626.SH,20260304,125.257,4.7619,12.8396,985760.0,985760.0
688775.SH,20260304,86.1837,14.202,8.4285,8308720.0,679616.0
300900.SZ,20260304,,6.6475,10.5181,1222387.479,952177.6545
603798.SH,20260304,75.2267,3.3777,4.0023,390316.3673,390316.3673
600862.SH,20260304,34.1812,4.7989,7.1395,3578743.1559,3578743.1559
300159.SZ,20260304,,,16.8148,1029901.7827,573365.6705
000034.SZ,20260304,51.3468,2.447,0.1955,2717256.9223,2271528.4397
600721.SH,20260304,66.4149,4.2,8.4678,333402.7995,333402.7995
002608.SZ,20260304,8.6639,0.8796,0.9015,3071578.7994,3071578.7994
920509.BJ,20260304,76.8311,14.353,22.8949,530932.4652,277116.7622
600641.SH,20260304,106.5119,2.0631,12.5264,1681648.2654,1681648.2654
600993.SH,20260304,19.6674,2.6147,2.9792,1124188.5477,1122240.6977
601139.SH,20260304,14.9279,1.3297,0.7048,2100021.9717,2100021.9717
300410.SZ,20260304,,13.1889,4.0682,317554.2994,317554.2994
300301.SZ,20260304,,13.9711,5.2406,229873.649,218795.8512
300285.SZ,20260304,57.3763,5.0111,8.0464,3511604.1091,2963216.5511
300458.SZ,20260304,120.0,10.0983,11.0815,3144878.3254,2574320.9385
605090.SH,20260304,24.9182,3.2869,1.6809,3463944.3811,3457122.9181
688686.SH,20260304,66.6712,3.9976,9.6321,1222354.55,1222354.55
002057.SZ,20260304,35.5977,2.6398,2.7441,842841.9833,842329.0561
002233.SZ,20260304,17.4999,0.9236,2.7017,1109572.2301,1108742.8036
300958.SZ,20260304,,1.7392,3.6204,216609.9522,125830.3081
