ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
300701.SZ,20251105,56.1372,3.6829,8.1652,358508.1309,315886.4716
300847.SZ,20251105,47.248,3.7109,4.5814,543178.35,543178.35
002153.SZ,20251105,,3.7449,9.1107,2606380.1182,1527774.4328
002410.SZ,20251105,68.7717,4.0256,3.923,2395319.2959,2302717.5646
002929.SZ,20251105,,1.9372,1.2341,1224398.092,907516.8023
002489.SZ,20251105,13.2159,1.8411,1.475,863268.4926,761385.5133
002283.SZ,20251105,21.1424,1.2075,1.9382,726973.6796,640249.8617
600255.SH,20251105,162.9516,4.7397,1.5231,686335.8429,686335.8429
002583.SZ,20251105,,8.2285,3.6794,2102324.0044,1482825.5326
300040.SZ,20251105,,1.713,3.0436,442666.38,355954.719
920445.BJ,20251105,85.8842,5.8186,4.9786,188658.1521,134597.1567
688310.SH,20251105,,3.8125,10.9736,307173.9871,307173.9871
000796.SZ,20251105,,14.4473,17.4523,1198030.3203,994082.8071
002948.SZ,20251105,6.2191,0.752,2.129,2985841.9734,1596672.1844
300611.SZ,20251105,42.8528,5.0876,3.3062,625203.2022,439273.4268
300951.SZ,20251105,31.2408,2.5999,4.5295,605098.9325,540780.6432
002267.SZ,20251105,13.5932,1.3941,1.0331,917462.2421,917462.2421
000698.SZ,20251105,29.9302,2.1856,0.596,322888.6716,309571.4716
300184.SZ,20251105,82.8451,3.1057,1.4679,1276337.1857,1160401.0653
301330.SZ,20251105,37.4918,2.1044,3.6058,714527.3058,345845.5484
601002.SH,20251105,23.2454,1.1571,2.069,491536.9708,491536.9708
688121.SH,20251105,25.1679,1.1625,1.2219,302530.1339,262453.3338
002047.SZ,20251105,,,4.8141,539784.5347,539757.1295
300210.SZ,20251105,,11.0712,12.9882,457103.6356,456665.6149
002611.SZ,20251105,39.0431,4.8726,5.4688,2658553.3666,2188799.7921
603528.SH,20251105,,3.2571,15.0285,619100.7249,619100.7249
688609.SH,20251105,,5.654,2.1023,502500.0,502500.0
301041.SZ,20251105,125.9018,4.6556,4.3462,310652.16,229816.9008
300067.SZ,20251105,,2.2194,5.532,554099.7955,449992.1669
920527.BJ,20251105,56.2336,3.0449,3.1072,116843.0942,70627.6122
603329.SH,20251105,82.2309,2.0983,0.6476,295060.3865,243532.0025
000700.SZ,20251105,19.9964,2.3012,1.3217,924441.4967,924441.4967
603069.SH,20251105,,11.7024,13.8675,947052.0,947052.0
600976.SH,20251105,18.5413,2.3429,1.9052,605004.0784,604609.6784
300947.SZ,20251105,131.1516,2.3032,2.3556,287766.1732,287651.9998
300846.SZ,20251105,,12.6027,8.4449,1072401.9942,836557.3361
000007.SZ,20251105,54.2323,16.8224,6.7852,307299.415,307299.415
003816.SZ,20251105,21.7965,1.6628,2.4333,20502436.1066,15970004.3566
000788.SZ,20251105,24.5685,2.2092,2.0082,352824.5556,352824.5556
920931.BJ,20251105,89.5951,4.1875,4.7107,163813.92,50184.9952
002632.SZ,20251105,32.371,3.103,4.3889,665198.0309,619708.6017
301277.SZ,20251105,41.7052,3.3896,7.6962,515975.1744,132940.2144
300142.SZ,20251105,396.2265,2.015,8.1337,1951205.22,1898252.3376
920508.BJ,20251105,148.2769,8.7783,20.0771,168780.0,87892.185
002332.SZ,20251105,34.5177,1.603,2.632,944690.647,940267.894
002762.SZ,20251105,,3.7478,8.2809,289238.425,172696.1806
603232.SH,20251105,576.274,4.0399,12.5876,543696.2884,537078.5884
300025.SZ,20251105,,6.0573,5.2024,326645.0559,325103.7417
300605.SZ,20251105,,5.7577,7.2402,274854.2296,198614.578
920116.BJ,20251105,113.9582,20.2891,35.4789,1112992.65,282685.7135
000567.SZ,20251105,,2.9106,33.8898,1569537.5005,1565771.4441
300402.SZ,20251105,109.3117,4.401,4.6945,659424.208,650948.624
002849.SZ,20251105,79.5147,2.2657,1.9254,309990.7925,271962.0846
002358.SZ,20251105,54.2374,1.6453,1.8876,552275.6443,552274.887
300141.SZ,20251105,,5.297,8.1611,350410.8114,346189.9748
600010.SH,20251105,121.5266,2.3654,1.8579,12318504.4627,8535577.1341
600861.SH,20251105,9.1442,1.4811,0.2423,1058064.6699,685128.3909
300560.SZ,20251105,,3.5852,3.4582,347831.8437,283064.6845
601958.SH,20251105,15.125,2.5719,3.2382,4649536.9404,4649536.9404
000701.SZ,20251105,,,0.1189,433868.1621,428601.483
601208.SH,20251105,84.5679,3.1991,3.8312,1926278.9419,1926278.9419
601026.SH,20251105,71.8,5.7047,3.9666,1511344.8,245665.0771
002425.SZ,20251105,,1.3861,7.3205,400842.6627,400589.5163
688271.SH,20251105,66.9465,5.5329,9.385,11454147.7172,11454147.7172
