ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
920491.BJ,20251009,52.0286,4.6383,7.1622,475087.9439,389025.689
603829.SH,20251009,28.8163,3.3043,1.6326,357778.4895,357778.4895
002646.SZ,20251009,328.3614,1.6,3.9246,458985.4391,455940.5798
003025.SZ,20251009,30.01,3.3374,6.1788,399522.6561,318567.2107
300552.SZ,20251009,,3.2798,6.1037,594215.1163,384081.6437
300801.SZ,20251009,47.4794,2.3516,2.19,582552.81,364021.8304
601369.SH,20251009,14.8685,1.7305,1.4614,1482188.0631,1466984.5488
002518.SZ,20251009,57.4978,5.5458,5.5853,2474456.6495,2401846.7595
600597.SH,20251009,17.6368,1.1896,0.4835,1162053.3822,1162037.871
603515.SH,20251009,14.4517,2.2274,1.8461,1282341.5993,1266993.0721
603105.SH,20251009,24.5155,2.3278,6.6945,477506.3746,477506.3746
603132.SH,20251009,28.3767,4.7801,9.0636,1463088.0,1463088.0
002913.SZ,20251009,43.2599,3.2273,2.836,1413206.3243,1343404.0798
600956.SH,20251009,20.1036,1.5557,1.6519,3326703.2207,1857338.1435
601818.SH,20251009,4.7459,0.4097,1.5094,19852745.1565,15592690.0285
600926.SH,20251009,5.9319,0.8602,2.8266,11061977.8882,11061977.8882
002166.SZ,20251009,42.8985,1.9179,3.1031,584388.2269,580355.2429
920047.BJ,20251009,,21.8581,93.8649,681840.1274,447744.5775
000529.SZ,20251009,27.7449,1.0882,1.5302,345603.8754,337371.5512
300559.SZ,20251009,178.507,5.121,13.8703,614453.404,478528.4492
603189.SH,20251009,672.2184,4.1618,21.9901,624813.073,624813.073
688426.SH,20251009,,2.2304,21.5504,314307.4425,106153.3696
001389.SZ,20251009,39.7967,9.9485,7.5805,3375940.665,1192771.8731
600841.SH,20251009,,2.774,1.5956,890981.5853,669621.7187
300968.SZ,20251009,229.109,3.4901,5.3758,656447.44,656447.44
300634.SZ,20251009,50.0369,4.3912,6.9171,1238573.9205,1192904.2575
300295.SZ,20251009,,2.079,25.6042,233604.0956,206391.894
688370.SH,20251009,86.359,1.4108,6.5834,370876.8127,118341.3588
301106.SZ,20251009,32.0144,2.4611,3.4882,306794.8104,306794.8104
300126.SZ,20251009,,2.7995,6.4623,293623.0416,203490.5121
920578.BJ,20251009,266.7028,8.1436,9.1631,219495.0084,66010.0
301093.SZ,20251009,124.297,3.0922,11.4511,700155.7247,669166.5376
600827.SH,20251009,9.9317,0.7954,0.6192,1595046.2966,1434378.2285
300718.SZ,20251009,113.5089,16.8716,22.698,2721279.4052,1765513.2366
002069.SZ,20251009,276.3058,44.0474,1.7726,279467.0922,279114.9642
300099.SZ,20251009,50.6576,2.2115,8.5531,501340.3734,395360.3232
301051.SZ,20251009,,2.2087,2.6239,464157.3404,368064.2103
603109.SH,20251009,24.246,3.1698,1.958,612343.3915,612343.3915
002873.SZ,20251009,92.8051,2.1707,3.3267,257529.5153,251795.6062
688190.SH,20251009,35.8277,5.011,6.5922,1302360.0,1302360.0
920139.BJ,20251009,,6.2727,22.401,681314.687,658464.3174
002310.SZ,20251009,,11.0851,46.7304,1703807.4812,1192530.1196
300415.SZ,20251009,18.6924,3.9966,2.2448,1221072.7909,1180758.1142
002569.SZ,20251009,,54.7835,11.4653,131625.14,127920.1725
600279.SH,20251009,12.5814,0.9132,1.3721,611236.1357,611236.1357
002682.SZ,20251009,,2.2595,0.906,249691.6557,249687.9261
600802.SH,20251009,,2.1533,1.4584,261659.8364,261659.8364
300805.SZ,20251009,183.2935,3.108,1.9961,481701.8224,327238.7644
300520.SZ,20251009,,4.2478,4.4589,775634.3838,738390.398
002330.SZ,20251009,,1.3145,0.943,301774.7628,301709.8896
688577.SH,20251009,576.1007,13.5611,17.5347,1321446.7819,1321446.7819
301151.SZ,20251009,42.898,1.7164,3.9517,350514.5034,115598.4219
603599.SH,20251009,15.0032,1.0969,2.5343,1075938.3658,1075938.3658
000547.SZ,20251009,,2.5911,7.3608,1246805.2498,1238913.5429
002453.SZ,20251009,,6.1562,13.4073,584904.3307,441189.4579
002493.SZ,20251009,209.9635,2.3724,0.3135,9839600.6202,9221765.5264
002810.SZ,20251009,21.8776,2.0952,2.3145,461281.4097,424013.3732
605080.SH,20251009,15.7461,1.6777,3.3295,362143.8363,359018.3696
300590.SZ,20251009,62.5631,3.1729,6.6987,568917.9945,438346.3173
300697.SZ,20251009,58.6039,7.3791,3.0682,857059.84,656186.44
300400.SZ,20251009,56.0553,7.5595,7.3366,564590.2366,558301.7518
600365.SH,20251009,,4.2407,1.6908,143055.76,135447.76
603606.SH,20251009,59.5599,6.9861,5.2717,4985248.7026,4985248.7026
002140.SZ,20251009,20.8107,2.0423,0.99,917585.9781,704300.1101
002472.SZ,20251009,37.0421,4.511,4.8094,4178555.1734,3714486.2594
300751.SZ,20251009,38.0663,4.3064,3.5628,3268479.7602,2261836.4805
002200.SZ,20251009,,,2.8784,132391.5479,132391.5479
002068.SZ,20251009,,2.948,0.8618,819909.8935,819531.4904
603038.SH,20251009,206.9141,3.4624,3.9135,472334.3523,472334.3523
002030.SZ,20251009,,1.1702,11.3877,901012.3525,901012.3525
600157.SH,20251009,74.6312,0.7973,1.5126,3709019.9047,3709019.9047
001208.SZ,20251009,61.2092,4.1389,1.5576,685131.568,337675.9117
002772.SZ,20251009,24.2651,1.2487,2.1086,406611.5652,403400.0584
603212.SH,20251009,,1.9847,1.9089,516238.9505,516238.9505
920099.BJ,20251009,30.1564,2.8934,4.5758,243039.9938,121979.668
002394.SZ,20251009,10.6485,0.8428,0.9591,358335.9,357877.1658
002723.SZ,20251009,,2.8744,2.2711,294794.34,281279.8368
300050.SZ,20251009,,8.2438,12.2051,332356.498,332153.6309
603819.SH,20251009,85.8552,3.1256,1.7734,247994.683,247994.683
920656.BJ,20251009,30.4718,2.646,8.9543,175600.0,56852.7494
000612.SZ,20251009,14.0406,1.6212,1.6195,1074171.654,1073469.5497
301101.SZ,20251009,49.5852,5.4607,11.588,909021.0831,861225.9104
605337.SH,20251009,21.7605,3.1061,3.6047,489187.7124,489187.7124
300239.SZ,20251009,45.2615,1.9284,4.0028,324109.9314,322009.9335
601333.SH,20251009,18.8249,0.8493,0.8409,2365901.358,1887847.158
688678.SH,20251009,,4.8081,5.9431,854032.2079,854032.2079
301391.SZ,20251009,496.704,3.5106,11.1019,725913.156,376779.5422
300583.SZ,20251009,,1.609,3.146,286829.6145,281457.1761
300636.SZ,20251009,37.9861,1.5436,4.5114,362838.0917,317397.039
002952.SZ,20251009,221.0672,3.5205,3.6886,303864.66,246370.0642
601969.SH,20251009,30.6133,2.5495,4.1647,1788432.1846,1770395.954
000411.SZ,20251009,11.4048,1.277,0.1766,589216.6427,364415.2838
603238.SH,20251009,28.6878,2.3663,1.2997,334249.447,334249.447
603386.SH,20251009,,3.2976,1.821,454893.6486,454893.6486
300456.SZ,20251009,,3.6477,15.1894,1858356.9341,1516325.76
000657.SZ,20251009,34.2316,4.6776,2.8255,4459913.7217,2456088.1286
603395.SH,20251009,164.438,6.3643,2.6728,888420.0,183139.2132
688027.SH,20251009,,12.7552,134.4019,4101993.8589,3205249.5012
603429.SH,20251009,,5.1622,22.9936,639347.7818,639347.7818
300917.SZ,20251009,60.5013,6.5905,2.5594,745290.0,745290.0
301266.SZ,20251009,98.632,2.1381,1.2261,381498.4749,361921.6029
688399.SH,20251009,,1.9493,16.6469,578882.6183,578882.6183
600330.SH,20251009,220.153,1.7143,4.4553,1375279.3738,1375279.3738
300378.SZ,20251009,105.3122,7.2619,7.0261,1666351.9762,1653996.7612
000708.SZ,20251009,13.4468,1.7089,0.6538,6990313.5932,6990313.5932
603501.SH,20251009,45.4118,7.2486,6.5565,18092570.7962,18092570.7962
603399.SH,20251009,,3.2594,1.0773,531757.6937,531757.6937
301616.SZ,20251009,43.3044,3.2089,4.4301,415360.0,103840.0
603288.SH,20251009,33.8293,6.0476,8.2292,23021079.3297,21875402.5401
300158.SZ,20251009,,1.8175,2.2746,664516.3587,664108.7769
688017.SH,20251009,452.5588,9.5268,70.7982,3302142.2115,3302142.2115
002626.SZ,20251009,27.2282,2.8877,3.6294,1250366.2806,1250176.6556
600816.SH,20251009,525.2796,2.1564,,3041934.5105,1689963.617
688670.SH,20251009,,1.5356,23.4576,190097.6,190097.6
301179.SZ,20251009,45.2637,2.8568,5.5686,676573.8629,397346.6162
002909.SZ,20251009,476.1119,2.8051,2.0632,251940.0,245756.0894
688638.SH,20251009,,2.8406,4.8673,256480.0,121191.4808
002043.SZ,20251009,14.6611,3.1302,1.0015,892815.8205,792067.0084
688563.SH,20251009,45.2309,2.3682,8.9412,2488500.0,646949.1313
000833.SZ,20251009,30.1312,3.0797,4.0426,1137352.5894,643349.4729
600833.SH,20251009,63.1105,2.6999,1.4787,298489.5323,298489.5323
603680.SH,20251009,18.7771,1.7555,1.9417,980432.1775,980432.1775
002188.SZ,20251009,168.4115,5.7257,4.732,183505.2677,144380.6469
000778.SZ,20251009,109.2991,0.6048,0.446,1569420.1849,1541867.7764
920027.BJ,20251009,40.8949,5.1096,6.1085,222086.614,107632.942
300593.SZ,20251009,,4.9431,11.9522,1177221.6777,977071.7972
603530.SH,20251009,45.5604,8.5976,10.0349,1503125.6902,1488432.3431
688357.SH,20251009,51.7614,2.331,5.112,398733.0468,398733.0468
301389.SZ,20251009,156.1179,7.7115,53.3339,1666980.0,482613.0364
002107.SZ,20251009,51.6203,5.3708,4.5508,361333.2096,356580.0229
603833.SH,20251009,12.3539,1.7896,1.7469,3246174.8449,3246174.8449
600545.SH,20251009,,1.5594,1.2999,509554.9833,509554.9833
002676.SZ,20251009,98.365,5.2902,2.375,687600.0,687577.5183
600758.SH,20251009,25.1047,0.9157,0.9741,514264.7663,513769.1803
000524.SZ,20251009,54.6285,3.8626,1.9523,873281.8019,872943.4597
000566.SZ,20251009,,19.3343,8.3578,708361.3588,636578.5242
920753.BJ,20251009,65.2712,5.2607,8.745,202045.6414,78212.8461
920496.BJ,20251009,41.1862,3.1523,2.678,180807.9,158469.3277
002128.SZ,20251009,10.3475,1.498,1.7764,5364085.3687,5364085.3687
002236.SZ,20251009,19.5087,1.8754,2.1443,6967921.8169,4485839.546
300254.SZ,20251009,298.5831,9.0998,3.3082,270770.1711,239784.7784
603486.SH,20251009,50.1861,7.4114,3.2368,5904775.3136,5831474.3876
301288.SZ,20251009,,2.254,29.0961,179728.64,78362.6255
301118.SZ,20251009,,2.0789,1.9944,279568.2668,266518.0986
300597.SZ,20251009,,2.5751,4.7703,246675.8772,245591.8754
002161.SZ,20251009,101.7117,3.5174,9.7035,562955.3814,536309.1353
688217.SH,20251009,,1.7641,7.5864,161032.5482,161032.5482
601088.SH,20251009,14.5632,1.9516,2.5409,78361442.7025,65040653.6945
603638.SH,20251009,44.0815,4.5796,5.3772,1563277.3143,1563277.3143
600860.SH,20251009,,6.1092,4.1431,654793.2416,528950.1216
603317.SH,20251009,21.3814,2.9109,3.5715,1214095.7752,1214095.7752
600765.SH,20251009,63.2483,1.8096,2.4328,2586958.1152,2568807.4472
603282.SH,20251009,23.9263,1.8948,2.8277,239403.98,114825.9972
600729.SH,20251009,8.4842,1.527,0.721,1168141.2302,510464.5023
300467.SZ,20251009,346.9597,8.2259,18.2256,521220.5608,432349.4078
002529.SZ,20251009,,8.4124,6.5615,190060.0,190060.0
300928.SZ,20251009,,2.3369,2.5466,260640.0,174584.7453
300773.SZ,20251009,122.1314,5.6508,3.6244,1967053.92,1832901.1908
001301.SZ,20251009,23.07,3.3963,3.3982,2216819.975,1372354.5375
301050.SZ,20251009,47.6702,3.928,12.6907,1194339.0361,1014564.9382
000829.SZ,20251009,,3.4325,0.1261,1000498.0275,999550.5569
688498.SH,20251009,1205.0165,16.8386,105.0611,3540186.8339,2477548.4725
920510.BJ,20251009,641.9487,8.9367,16.7181,358480.3058,182727.6058
603261.SH,20251009,,2.3734,6.7873,160255.9785,159427.8303
688211.SH,20251009,,1.2592,2.0618,439836.2687,439836.2687
002726.SZ,20251009,,3.908,0.4892,534184.5411,533171.0286
600143.SH,20251009,56.8179,3.2131,0.8507,5853280.1873,5849313.7822
600569.SH,20251009,,2.4549,0.2412,663529.3402,663529.3402
002585.SZ,20251009,,0.77,1.1597,661967.115,514205.837
600809.SH,20251009,18.8254,6.4755,6.239,23226898.8227,23226898.8227
301228.SZ,20251009,,5.5021,9.4021,385800.0,385009.11
920088.BJ,20251009,54.4375,4.6309,7.4991,309042.8935,84742.35
002320.SZ,20251009,157.7093,5.7411,4.965,2272462.9025,2272462.9025
600499.SH,20251009,18.396,1.9852,1.5599,2385813.3504,2385813.3504
002852.SZ,20251009,11.4448,1.7236,0.6333,378365.1355,313794.7978
301586.SZ,20251009,57.7118,3.4749,5.6032,442010.5045,281857.2646
600871.SH,20251009,59.8001,4.3198,0.4942,4018893.7166,2871966.6184
002067.SZ,20251009,115.7576,1.464,1.6742,909789.709,819204.709
601225.SH,20251009,10.1825,2.2348,1.116,19797190.0,19797190.0
688800.SH,20251009,61.659,7.449,5.5279,1648068.4464,1648068.4464
002398.SZ,20251009,81.5794,0.9775,1.3229,348313.6746,289104.609
003010.SZ,20251009,95.6245,26.1659,5.7838,1328846.0815,966079.4015
000958.SZ,20251009,35.3035,1.7082,7.5627,3434621.0158,3434610.2495
000050.SZ,20251009,929.2907,0.9024,0.7078,2482325.1376,2482293.8529
300837.SZ,20251009,75.5756,1.8233,4.3868,248503.8468,175398.253
