ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
920027.BJ,20260107,33.6773,4.1447,4.788,175277.3455,93396.3455
300593.SZ,20260107,,7.4755,15.2716,1784277.4645,1480916.6548
603530.SH,20260107,50.1103,11.4236,11.5638,1864877.364,1846647.8237
688357.SH,20260107,38.9516,1.9511,4.2164,338702.6769,338702.6769
301389.SZ,20260107,139.9771,7.1086,42.0533,1557832.5,464706.9133
002107.SZ,20260107,50.2804,5.6295,4.7998,389616.48,384491.2388
603833.SH,20260107,13.3489,1.6917,1.7551,3204753.2333,3204753.2333
600545.SH,20260107,,1.466,1.2038,468433.0022,468433.0022
002676.SZ,20260107,84.6013,4.5556,2.0706,594000.0,593980.5787
600758.SH,20260107,121.4461,0.9115,0.9968,505010.6445,504523.9765
000524.SZ,20260107,102.0151,3.6078,1.8438,821005.5313,820687.4429
000566.SZ,20260107,,33.0899,11.1563,921129.2395,920682.2994
920753.BJ,20260107,60.6784,4.7372,7.745,186985.8333,72383.1214
920088.BJ,20260107,58.3821,4.3654,6.7308,293101.952,105768.1597
002320.SZ,20260107,131.1289,6.2992,5.1521,2536347.2005,2536347.2005
600499.SH,20260107,19.1844,2.2159,1.6745,2786645.3361,2786645.3361
002852.SZ,20260107,13.1548,1.669,0.6031,370109.8962,306948.3658
301586.SZ,20260107,62.9073,3.1664,5.3532,404339.6261,257835.6392
600871.SH,20260107,66.4766,4.3488,0.5102,4151593.0374,2966795.7049
002067.SZ,20260107,129.2108,1.2123,1.4259,802320.496,727656.496
601225.SH,20260107,11.3676,2.3029,1.23,21745885.0,21745885.0
688800.SH,20260107,56.3673,7.4306,5.4156,1704011.8655,1704011.8655
002398.SZ,20260107,77.504,1.0935,1.5337,394391.1807,321670.1104
003010.SZ,20260107,73.6576,14.3386,4.0899,1124791.0652,817730.1301
000958.SZ,20260107,39.3511,1.7935,7.9595,3531522.5491,3531511.4791
000050.SZ,20260107,194.8824,0.8302,0.6317,2283247.5771,2283218.8013
300837.SZ,20260107,99.2367,2.9742,6.8173,410107.4515,282617.614
601990.SH,20260107,29.3863,1.5695,11.775,3581297.0251,3000697.8817
000048.SZ,20260107,19.7437,1.9155,1.6069,809210.7135,803224.6733
002075.SZ,20260107,43.6786,1.9297,0.9067,1259255.8054,1259253.7821
300669.SZ,20260107,302.6021,5.653,15.2946,494096.9687,467929.8385
301265.SZ,20260107,70.8202,2.0454,4.9265,432645.7039,240544.051
