ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
301105.SZ,20260204,,2.98,13.8534,248700.0,81760.1101
301611.SZ,20260204,157.0925,29.9923,50.0324,5179244.0,1741255.7508
000885.SZ,20260204,7.4654,0.97,1.3107,888636.3049,888636.3049
605098.SH,20260204,18.8877,6.0251,6.9363,545454.5314,545454.5314
301568.SZ,20260204,49.6484,5.0577,11.4886,510096.496,235140.8384
301095.SZ,20260204,135.7129,4.7412,21.6385,1487087.0784,1295694.6874
002400.SZ,20260204,192.4616,4.0905,0.9424,2036217.7655,2016160.2738
600984.SH,20260204,,1.7195,2.2788,573212.0298,573212.0298
603605.SH,20260204,17.974,5.3521,2.6005,2837168.0257,2837168.0257
600986.SH,20260204,173.7936,4.216,2.8573,2202800.9858,2202800.9858
600848.SH,20260204,18.3341,1.481,2.6577,2898337.5676,2750605.2017
603456.SH,20260204,22.0863,1.8236,2.981,1596555.6203,1596555.6203
000988.SZ,20260204,47.917,7.0498,5.5932,7688073.6977,7684120.3334
603025.SH,20260204,26.1888,6.9593,6.3818,1814564.0061,1802409.0061
600023.SH,20260204,9.1505,0.8958,0.8276,6664140.1763,6664140.1763
002683.SZ,20260204,40.3063,5.4508,1.9189,3632810.7407,3176954.9989
600212.SH,20260204,178.5383,10.163,3.7837,547828.8657,413258.2057
000720.SZ,20260204,,2.0038,3.3766,472455.8707,472455.8707
000969.SZ,20260204,80.9421,4.4904,3.3711,2541206.4213,2500631.6853
603585.SH,20260204,31.7984,1.4999,1.3967,380885.3396,372417.4496
600728.SH,20260204,53.8988,1.8321,1.4093,1439504.5012,1439504.5012
688362.SH,20260204,206.5358,7.0461,4.2529,1797915.6714,1797915.6714
300791.SZ,20260204,19.4716,2.74,1.5106,672797.008,561019.9563
002821.SZ,20260204,34.7442,2.0803,5.7346,3609471.4499,3170633.3299
601127.SH,20260204,26.6085,4.7937,1.2887,19212353.5135,16651387.8066
000516.SZ,20260204,,3.3339,2.6464,1112731.6862,1095813.5657
000902.SZ,20260204,13.3059,1.8207,1.2577,2096659.9709,1909590.154
600746.SH,20260204,67.9219,1.6386,1.4601,893399.8063,892052.9955
603773.SH,20260204,,7.7687,3.6607,907171.5601,906856.5961
301072.SZ,20260204,,3.3169,3.207,248643.8465,158920.1977
600004.SH,20260204,18.3148,1.2008,3.1704,2479309.3033,2276782.9882
300901.SZ,20260204,,4.5723,13.2639,442800.0,442800.0
600590.SH,20260204,,3.3044,2.2597,1056705.6203,1045182.639
601083.SH,20260204,10.3354,1.73,2.2324,1536120.44,230420.44
301335.SZ,20260204,77.6079,1.9346,1.2157,371063.7872,147995.0553
920108.BJ,20260204,71.5054,4.6443,4.2764,228681.6,47014.9848
688652.SH,20260204,132.8669,9.2339,14.8448,2014656.0,1448034.0
688671.SH,20260204,,1.8174,5.5107,193313.5318,115337.6144
603186.SH,20260204,,6.3484,2.1971,930830.7883,930830.7883
688767.SH,20260204,51.5118,2.2593,11.0371,528341.3357,528341.3357
688522.SH,20260204,103.0706,5.6098,27.5456,1275611.5013,509451.4306
300660.SZ,20260204,74.5045,6.839,5.8552,2372059.3871,2370160.2979
301269.SZ,20260204,890.7935,10.285,41.6347,5344197.6832,5344197.6832
301256.SZ,20260204,85.4329,4.4828,4.6481,765600.0,765600.0
920566.BJ,20260204,19.8748,2.0821,3.9969,168010.2039,129760.278
301085.SZ,20260204,,4.8929,4.7846,524992.8338,356416.0391
688261.SH,20260204,191.8291,3.7821,8.6715,1115432.2725,1111078.9599
920779.BJ,20260204,49.0307,6.0256,17.6733,281302.4914,70376.6386
688508.SH,20260204,42.1508,3.2945,7.8725,893304.2838,893304.2838
002903.SZ,20260204,1131.8958,4.2563,7.0745,345519.09,235148.1435
300952.SZ,20260204,77.3266,4.7681,6.3197,807706.1725,490410.4327
000948.SZ,20260204,135.8226,2.4681,0.618,662810.9158,661518.0947
603889.SH,20260204,15.1875,1.8396,1.3602,661598.7474,656597.265
002438.SZ,20260204,30.1266,2.4738,4.2293,907984.5177,838827.5133
301155.SZ,20260204,49.7326,2.8187,4.0892,1621088.2514,919814.9546
300786.SZ,20260204,,2.715,5.6465,301418.0098,239700.3647
601112.SH,20260204,45.8899,5.6364,5.2663,3574712.5178,364071.3069
301166.SZ,20260204,,1.4183,2.6957,287386.6711,188742.3031
920128.BJ,20260204,74.7562,4.3905,3.7988,226357.72,106599.18
920970.BJ,20260204,,3.2514,7.1652,90081.0504,56967.9669
601997.SH,20260204,4.1226,0.3334,1.5682,2105970.0918,2105970.0918
600201.SH,20260204,175.2191,3.2282,13.3035,1765455.5477,1765455.5477
002399.SZ,20260204,42.6008,1.4472,3.3112,1790101.3689,1521586.0789
000630.SZ,20260204,55.5466,2.8974,0.6375,10271655.1767,8535546.7707
002899.SZ,20260204,64.6143,2.692,3.9958,468812.0079,468812.0079
002780.SZ,20260204,,3.7047,3.1712,280784.1887,221846.6868
000999.SZ,20260204,17.0287,2.3084,1.5743,4701415.4489,4697110.5585
688160.SH,20260204,193.4344,9.324,17.8962,1180818.678,1180818.678
920160.BJ,20260204,46.6172,5.991,17.5199,295207.68,66421.728
600048.SH,20260204,83.9177,0.459,0.2792,8606748.8175,8606748.8175
000881.SZ,20260204,,1.5291,1.3832,798884.8137,711144.2767
300335.SZ,20260204,58.4564,1.5232,2.6235,295270.6682,237795.7605
300811.SZ,20260204,59.0467,7.799,13.0142,2260442.2152,1853502.1596
603262.SH,20260204,72.7795,7.3244,10.6162,1123228.08,112342.464
