ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
600230.SH,20251203,95.5248,1.285,1.1064,517037.3077,517037.3077
301552.SZ,20251203,22.6304,3.1017,5.3501,357095.2,89273.8
688528.SH,20251203,,3.794,6.7675,188160.0,188160.0
605028.SH,20251203,28.5069,3.5599,14.3764,468640.0,468640.0
600237.SH,20251203,45.8973,2.7112,3.7323,521592.3362,514126.1802
002465.SZ,20251203,,2.494,6.9607,3000537.2431,2995765.5148
300732.SZ,20251203,,0.983,1.7429,286442.9357,286125.6323
002428.SZ,20251203,409.6729,11.7571,16.0904,1711174.4,1710953.3375
002646.SZ,20251203,679.4923,1.5433,3.8467,441737.552,438807.1133
003025.SZ,20251203,27.848,3.2512,5.9171,403498.0059,321737.0337
300552.SZ,20251203,,2.8898,5.2074,518979.1277,335451.5073
300801.SZ,20251203,49.9137,2.4986,2.2243,626894.1,391729.5288
601369.SH,20251203,16.2298,1.8344,1.584,1611448.65,1595307.558
002518.SZ,20251203,53.7555,5.5812,5.3488,2597306.1443,2521091.3869
600597.SH,20251203,16.4327,1.2049,0.4725,1138619.3282,1138604.1298
600007.SH,20251203,16.9538,2.1164,5.3073,2007514.0903,2007514.0903
688701.SH,20251203,,9.7189,11.1609,142602.5691,142602.5691
000756.SZ,20251203,31.6764,2.351,1.4251,1210557.8189,864554.9866
688118.SH,20251203,74.4172,2.8171,6.2381,232265.2987,232265.2987
300068.SZ,20251203,,3.8907,2.479,1495781.5528,1420544.2571
920491.BJ,20251203,42.4487,3.7054,5.7874,388990.6041,318524.8957
603829.SH,20251203,44.7481,3.391,2.2321,508506.6141,508506.6141
600569.SH,20251203,,2.4739,0.2347,675019.0257,675019.0257
002585.SZ,20251203,,0.7582,1.196,653977.8567,507999.9045
600809.SH,20251203,18.6108,5.9017,6.0904,22886528.8047,22886528.8047
301228.SZ,20251203,,7.7781,13.8679,537000.0,535899.15
002700.SZ,20251203,39.6306,2.1591,4.2703,295330.5241,188113.92
688783.SH,20251203,,7.5399,36.2117,9488830.0,386851.3271
688192.SH,20251203,,19.2924,46.2667,2811862.5897,2763574.3497
300945.SZ,20251203,35.9263,2.6408,1.5296,435563.0474,396221.8753
002110.SZ,20251203,48.4162,0.5818,0.2479,1144094.9029,1144094.9029
002831.SZ,20251203,18.5057,2.3717,1.5602,2730243.041,1515605.8876
603515.SH,20251203,15.8138,2.0386,1.9571,1357467.1802,1343718.3529
603105.SH,20251203,23.7976,2.1622,6.5002,461006.6578,461006.6578
603132.SH,20251203,28.1,4.214,8.2228,1329102.0,1329102.0
002913.SZ,20251203,33.5477,2.7133,2.2635,1197401.1816,1138258.1615
600956.SH,20251203,19.7858,1.4436,1.7147,3434159.4286,1786895.4832
601818.SH,20251203,5.2048,0.4217,1.6479,20975370.6267,16474419.5242
600926.SH,20251203,6.0327,0.8801,2.9563,11460673.0284,11460673.0284
002166.SZ,20251203,48.847,2.0923,3.4351,643716.9809,642185.8289
920047.BJ,20251203,,23.2714,97.604,685954.207,450446.1739
000529.SZ,20251203,35.4216,1.1604,1.7168,367787.9079,359027.1575
300559.SZ,20251203,131.7544,3.7847,10.6125,457843.6938,356562.8106
603189.SH,20251203,963.5496,3.6717,20.8978,553382.7605,553382.7605
688426.SH,20251203,,2.118,17.6177,294508.5485,99466.5432
001389.SZ,20251203,32.8334,8.181,6.0944,2979386.8125,1051545.1928
600841.SH,20251203,,2.6418,1.5464,835468.714,627900.7394
300968.SZ,20251203,252.3791,3.3488,4.9604,635365.06,635365.06
300634.SZ,20251203,49.2897,3.9129,6.3947,1140209.9443,1098167.2345
300295.SZ,20251203,,2.5098,28.8194,282903.6613,249948.6249
688370.SH,20251203,107.9935,1.243,5.8752,328373.3702,104779.1328
301106.SZ,20251203,32.6265,2.452,3.4517,313696.7731,313696.7731
300126.SZ,20251203,,2.7441,6.1135,286632.0168,198645.4999
920578.BJ,20251203,297.504,7.009,8.7831,188062.0995,56557.0
301093.SZ,20251203,156.0276,3.6356,13.0658,790302.4163,755323.2987
600827.SH,20251203,66.3619,0.8123,0.6416,1611103.8097,1448818.2778
300718.SZ,20251203,96.6355,14.2915,19.3443,2393817.5884,1553062.3684
600330.SH,20251203,538.4881,1.4659,3.9582,1175462.9984,1175462.9984
300378.SZ,20251203,73.0631,5.0324,4.8312,1145948.7226,1137457.0276
000708.SZ,20251203,14.3247,1.9864,0.753,8050216.7373,8050216.7373
