ticker,report_period,ann_date,known_at,available_at,source_file,source_mode
000338,20260331,20260430,20260430,20260430,000338_fin.csv,REAL_FUNDAMENTALS
000400,20260331,20260411,20260411,20260411,000400_fin.csv,REAL_FUNDAMENTALS
000401,20260331,20260430,20260430,20260430,000401_fin.csv,REAL_FUNDAMENTALS
000402,20260331,20260429,20260429,20260429,000402_fin.csv,REAL_FUNDAMENTALS
000403,20260331,20260429,20260429,20260429,000403_fin.csv,REAL_FUNDAMENTALS
000404,20260331,20260418,20260418,20260418,000404_fin.csv,REAL_FUNDAMENTALS
000407,20260331,20260428,20260428,20260428,000407_fin.csv,REAL_FUNDAMENTALS
000408,20260331,20260418,20260418,20260418,000408_fin.csv,REAL_FUNDAMENTALS
000409,20260331,20260423,20260423,20260423,000409_fin.csv,REAL_FUNDAMENTALS
000410,20260331,20260429,20260429,20260429,000410_fin.csv,REAL_FUNDAMENTALS
000411,20260331,20260428,20260428,20260428,000411_fin.csv,REAL_FUNDAMENTALS
000415,20260331,20260429,20260429,20260429,000415_fin.csv,REAL_FUNDAMENTALS
000417,20260331,20260429,20260429,20260429,000417_fin.csv,REAL_FUNDAMENTALS
000419,20260331,20260430,20260430,20260430,000419_fin.csv,REAL_FUNDAMENTALS
000420,20260331,20260429,20260429,20260429,000420_fin.csv,REAL_FUNDAMENTALS
000421,20260331,20260428,20260428,20260428,000421_fin.csv,REAL_FUNDAMENTALS
000422,20260331,20260428,20260428,20260428,000422_fin.csv,REAL_FUNDAMENTALS
000423,20260331,20260425,20260425,20260425,000423_fin.csv,REAL_FUNDAMENTALS
000425,20260331,20260429,20260429,20260429,000425_fin.csv,REAL_FUNDAMENTALS
000426,20260331,20260430,20260430,20260430,000426_fin.csv,REAL_FUNDAMENTALS
000428,20260331,20260428,20260428,20260428,000428_fin.csv,REAL_FUNDAMENTALS
000429,20260331,20260430,20260430,20260430,000429_fin.csv,REAL_FUNDAMENTALS
000430,20260331,20260414,20260414,20260414,000430_fin.csv,REAL_FUNDAMENTALS
000488,20260331,20260430,20260430,20260430,000488_fin.csv,REAL_FUNDAMENTALS
000498,20260331,20260430,20260430,20260430,000498_fin.csv,REAL_FUNDAMENTALS
000501,20260331,20260430,20260430,20260430,000501_fin.csv,REAL_FUNDAMENTALS
000503,20260331,20260429,20260429,20260429,000503_fin.csv,REAL_FUNDAMENTALS
000504,20260331,20260429,20260429,20260429,000504_fin.csv,REAL_FUNDAMENTALS
000505,20260331,20260430,20260430,20260430,000505_fin.csv,REAL_FUNDAMENTALS
000506,20260331,20260416,20260416,20260416,000506_fin.csv,REAL_FUNDAMENTALS
000507,20260331,20260430,20260430,20260430,000507_fin.csv,REAL_FUNDAMENTALS
000509,20260331,20260430,20260430,20260430,000509_fin.csv,REAL_FUNDAMENTALS
000510,20260331,20260430,20260430,20260430,000510_fin.csv,REAL_FUNDAMENTALS
000513,20260331,20260424,20260424,20260424,000513_fin.csv,REAL_FUNDAMENTALS
000514,20260331,20260425,20260425,20260425,000514_fin.csv,REAL_FUNDAMENTALS
000516,20260331,20260424,20260424,20260424,000516_fin.csv,REAL_FUNDAMENTALS
000517,20260331,20260429,20260429,20260429,000517_fin.csv,REAL_FUNDAMENTALS
000518,20260331,20260427,20260427,20260427,000518_fin.csv,REAL_FUNDAMENTALS
000519,20260331,20260428,20260428,20260428,000519_fin.csv,REAL_FUNDAMENTALS
000520,20260331,20260429,20260429,20260429,000520_fin.csv,REAL_FUNDAMENTALS
000521,20260331,20260422,20260422,20260422,000521_fin.csv,REAL_FUNDAMENTALS
000523,20260331,20260428,20260428,20260428,000523_fin.csv,REAL_FUNDAMENTALS
000524,20260331,20260428,20260428,20260428,000524_fin.csv,REAL_FUNDAMENTALS
000525,20260331,20260428,20260428,20260428,000525_fin.csv,REAL_FUNDAMENTALS
000526,20260331,20260428,20260428,20260428,000526_fin.csv,REAL_FUNDAMENTALS
000528,20260331,20260425,20260425,20260425,000528_fin.csv,REAL_FUNDAMENTALS
000529,20260331,20260427,20260427,20260427,000529_fin.csv,REAL_FUNDAMENTALS
000530,20260331,20260424,20260424,20260424,000530_fin.csv,REAL_FUNDAMENTALS
000531,20260331,20260430,20260430,20260430,000531_fin.csv,REAL_FUNDAMENTALS
000532,20260331,20260425,20260425,20260425,000532_fin.csv,REAL_FUNDAMENTALS
000533,20260331,20260430,20260430,20260430,000533_fin.csv,REAL_FUNDAMENTALS
000534,20260331,20260425,20260425,20260425,000534_fin.csv,REAL_FUNDAMENTALS
000536,20260331,20260428,20260428,20260428,000536_fin.csv,REAL_FUNDAMENTALS
000537,20260331,20260428,20260428,20260428,000537_fin.csv,REAL_FUNDAMENTALS
000538,20260331,20260430,20260430,20260430,000538_fin.csv,REAL_FUNDAMENTALS
000539,20260331,20260430,20260430,20260430,000539_fin.csv,REAL_FUNDAMENTALS
000541,20260331,20260428,20260428,20260428,000541_fin.csv,REAL_FUNDAMENTALS
000543,20260331,20260430,20260430,20260430,000543_fin.csv,REAL_FUNDAMENTALS
000544,20260331,20260429,20260429,20260429,000544_fin.csv,REAL_FUNDAMENTALS
000545,20260331,20260428,20260428,20260428,000545_fin.csv,REAL_FUNDAMENTALS
000546,20260331,20260430,20260430,20260430,000546_fin.csv,REAL_FUNDAMENTALS
000547,20260331,20260430,20260430,20260430,000547_fin.csv,REAL_FUNDAMENTALS
000548,20260331,20260425,20260425,20260425,000548_fin.csv,REAL_FUNDAMENTALS
000550,20260331,20260425,20260425,20260425,000550_fin.csv,REAL_FUNDAMENTALS
000551,20260331,20260429,20260429,20260429,000551_fin.csv,REAL_FUNDAMENTALS
000552,20260331,20260428,20260428,20260428,000552_fin.csv,REAL_FUNDAMENTALS
000553,20260331,20260430,20260430,20260430,000553_fin.csv,REAL_FUNDAMENTALS
000554,20260331,20260424,20260424,20260424,000554_fin.csv,REAL_FUNDAMENTALS
000555,20260331,20260428,20260428,20260428,000555_fin.csv,REAL_FUNDAMENTALS
000557,20260331,20260429,20260429,20260429,000557_fin.csv,REAL_FUNDAMENTALS
000558,20260331,20260423,20260423,20260423,000558_fin.csv,REAL_FUNDAMENTALS
000559,20260331,20260425,20260425,20260425,000559_fin.csv,REAL_FUNDAMENTALS
000560,20260331,20260430,20260430,20260430,000560_fin.csv,REAL_FUNDAMENTALS
000561,20260331,20260430,20260430,20260430,000561_fin.csv,REAL_FUNDAMENTALS
000563,20260331,20260425,20260425,20260425,000563_fin.csv,REAL_FUNDAMENTALS
000564,20260331,20260429,20260429,20260429,000564_fin.csv,REAL_FUNDAMENTALS
000565,20260331,20260425,20260425,20260425,000565_fin.csv,REAL_FUNDAMENTALS
000566,20260331,20260428,20260428,20260428,000566_fin.csv,REAL_FUNDAMENTALS
000567,20260331,20260429,20260429,20260429,000567_fin.csv,REAL_FUNDAMENTALS
000568,20260331,20260429,20260429,20260429,000568_fin.csv,REAL_FUNDAMENTALS
000570,20260331,20260428,20260428,20260428,000570_fin.csv,REAL_FUNDAMENTALS
000571,20260331,20260430,20260430,20260430,000571_fin.csv,REAL_FUNDAMENTALS
000572,20260331,20260427,20260427,20260427,000572_fin.csv,REAL_FUNDAMENTALS
000573,20260331,20260430,20260430,20260430,000573_fin.csv,REAL_FUNDAMENTALS
000576,20260331,20260430,20260430,20260430,000576_fin.csv,REAL_FUNDAMENTALS
000581,20260331,20260424,20260424,20260424,000581_fin.csv,REAL_FUNDAMENTALS
000582,20260331,20260428,20260428,20260428,000582_fin.csv,REAL_FUNDAMENTALS
000586,20260331,20260428,20260428,20260428,000586_fin.csv,REAL_FUNDAMENTALS
000589,20260331,20260429,20260429,20260429,000589_fin.csv,REAL_FUNDAMENTALS
000590,20260331,20260428,20260428,20260428,000590_fin.csv,REAL_FUNDAMENTALS
000591,20260331,20260429,20260429,20260429,000591_fin.csv,REAL_FUNDAMENTALS
000592,20260331,20260430,20260430,20260430,000592_fin.csv,REAL_FUNDAMENTALS
000593,20260331,20260425,20260425,20260425,000593_fin.csv,REAL_FUNDAMENTALS
000595,20260331,20260425,20260425,20260425,000595_fin.csv,REAL_FUNDAMENTALS
000596,20260331,20260429,20260429,20260429,000596_fin.csv,REAL_FUNDAMENTALS
000597,20260331,20260428,20260428,20260428,000597_fin.csv,REAL_FUNDAMENTALS
000598,20260331,20260428,20260428,20260428,000598_fin.csv,REAL_FUNDAMENTALS
000599,20260331,20260429,20260429,20260429,000599_fin.csv,REAL_FUNDAMENTALS
000600,20260331,20260429,20260429,20260429,000600_fin.csv,REAL_FUNDAMENTALS
000601,20260331,20260424,20260424,20260424,000601_fin.csv,REAL_FUNDAMENTALS
000603,20260331,20260429,20260429,20260429,000603_fin.csv,REAL_FUNDAMENTALS
000605,20260331,20260429,20260429,20260429,000605_fin.csv,REAL_FUNDAMENTALS
000607,20260331,20260430,20260430,20260430,000607_fin.csv,REAL_FUNDAMENTALS
000608,20260331,20260429,20260429,20260429,000608_fin.csv,REAL_FUNDAMENTALS
000609,20260331,20260430,20260430,20260430,000609_fin.csv,REAL_FUNDAMENTALS
000610,20260331,20260424,20260424,20260424,000610_fin.csv,REAL_FUNDAMENTALS
000612,20260331,20260429,20260429,20260429,000612_fin.csv,REAL_FUNDAMENTALS
000615,20260331,20260427,20260427,20260427,000615_fin.csv,REAL_FUNDAMENTALS
000617,20260331,20260427,20260427,20260427,000617_fin.csv,REAL_FUNDAMENTALS
000619,20260331,20260425,20260425,20260425,000619_fin.csv,REAL_FUNDAMENTALS
000620,20260331,20260429,20260429,20260429,000620_fin.csv,REAL_FUNDAMENTALS
000623,20260331,20260430,20260430,20260430,000623_fin.csv,REAL_FUNDAMENTALS
000625,20260331,20260428,20260428,20260428,000625_fin.csv,REAL_FUNDAMENTALS
000626,20260331,20260430,20260430,20260430,000626_fin.csv,REAL_FUNDAMENTALS
000628,20260331,20260430,20260430,20260430,000628_fin.csv,REAL_FUNDAMENTALS
000629,20260331,20260425,20260425,20260425,000629_fin.csv,REAL_FUNDAMENTALS
000630,20260331,20260429,20260429,20260429,000630_fin.csv,REAL_FUNDAMENTALS
000631,20260331,20260429,20260429,20260429,000631_fin.csv,REAL_FUNDAMENTALS
000632,20260331,20260429,20260429,20260429,000632_fin.csv,REAL_FUNDAMENTALS
000633,20260331,20260421,20260421,20260421,000633_fin.csv,REAL_FUNDAMENTALS
000635,20260331,20260421,20260421,20260421,000635_fin.csv,REAL_FUNDAMENTALS
000636,20260331,20260429,20260429,20260429,000636_fin.csv,REAL_FUNDAMENTALS
000637,20260331,20260429,20260429,20260429,000637_fin.csv,REAL_FUNDAMENTALS
000638,20260331,20260429,20260429,20260429,000638_fin.csv,REAL_FUNDAMENTALS
000639,20260331,20260429,20260429,20260429,000639_fin.csv,REAL_FUNDAMENTALS
000650,20260331,20260428,20260428,20260428,000650_fin.csv,REAL_FUNDAMENTALS
000651,20260331,20260429,20260429,20260429,000651_fin.csv,REAL_FUNDAMENTALS
000652,20260331,20260427,20260427,20260427,000652_fin.csv,REAL_FUNDAMENTALS
000655,20260331,20260415,20260415,20260415,000655_fin.csv,REAL_FUNDAMENTALS
000656,20260331,20260428,20260428,20260428,000656_fin.csv,REAL_FUNDAMENTALS
000657,20260331,20260427,20260427,20260427,000657_fin.csv,REAL_FUNDAMENTALS
000659,20260331,20260428,20260428,20260428,000659_fin.csv,REAL_FUNDAMENTALS
000661,20260331,20260422,20260422,20260422,000661_fin.csv,REAL_FUNDAMENTALS
000663,20260331,20260428,20260428,20260428,000663_fin.csv,REAL_FUNDAMENTALS
000665,20260331,20260429,20260429,20260429,000665_fin.csv,REAL_FUNDAMENTALS
000668,20260331,20260428,20260428,20260428,000668_fin.csv,REAL_FUNDAMENTALS
000669,20260331,20260430,20260430,20260430,000669_fin.csv,REAL_FUNDAMENTALS
000670,20260331,20260421,20260421,20260421,000670_fin.csv,REAL_FUNDAMENTALS
000672,20260331,20260428,20260428,20260428,000672_fin.csv,REAL_FUNDAMENTALS
000676,20260331,20260429,20260429,20260429,000676_fin.csv,REAL_FUNDAMENTALS
