rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,ann_date,known_at,available_at,factor_id
20260430,002439,2.03427,-0.0289,15.4494,0.0764,-0.909879,-0.909879,20260429,20260429,20260429,F06
20260430,002440,2.76516,0.0133,12.2811,0.304,-0.274302,-0.274302,20260429,20260429,20260429,F06
20260430,002441,2.78835,-0.6387,33.4165,0.3407,-2.496605,-2.496605,20260428,20260428,20260428,F06
20260430,002442,0.97577,-0.6836,60.0354,0.0318,-5.834809,-5.834809,20260430,20260430,20260430,F06
20260430,002443,1.94225,0.0527,20.3165,0.1435,-1.381035,-1.381035,20260428,20260428,20260428,F06
20260430,002444,4.68989,0.0635,18.3509,0.8376,-0.080383,-0.080383,20260429,20260429,20260429,F06
20260430,002445,0.77496,-0.0315,18.4321,0.0149,-1.611062,-1.611062,20260428,20260428,20260428,F06
20260430,002446,1.0579,-0.0528,32.3871,0.0521,-2.91106,-2.91106,20260428,20260428,20260428,F06
20260430,002448,4.01478,-0.1545,35.0412,0.6358,-2.076266,-2.076266,20260424,20260424,20260424,F06
20260430,002449,0.7537,-0.335,34.9,-0.1009,-3.37125,-3.37125,20260424,20260424,20260424,F06
20260430,002451,0.73856,-0.2704,53.1803,0.0164,-5.143982,-5.143982,20260428,20260428,20260428,F06
20260430,002452,1.94776,0.1142,38.098,0.1659,-3.136272,-3.136272,20260430,20260430,20260430,F06
20260430,002453,-2.33238,-0.0293,39.5245,-0.0696,-4.685864,-4.685864,20260430,20260430,20260430,F06
20260430,002454,2.21396,-0.3403,44.673,0.2053,-3.789052,-3.789052,20260430,20260430,20260430,F06
20260430,002455,1.17715,0.0088,76.8874,0.0537,-7.312355,-7.312355,20260429,20260429,20260429,F06
20260430,002456,-2.98105,0.1393,75.0715,-0.1134,-8.418965,-8.418965,20260427,20260427,20260427,F06
20260430,002457,1.39196,-0.9143,40.5828,-0.0377,-3.838632,-3.838632,20260424,20260424,20260424,F06
20260430,002458,2.00957,0.1399,36.2396,0.18,-2.921109,-2.921109,20260420,20260420,20260420,F06
20260430,002459,-1.28809,0.0617,79.0698,-0.6147,-8.526947,-8.526947,20260429,20260429,20260429,F06
20260430,002460,6.70125,0.3751,55.2582,1.722,-2.751625,-2.751625,20260430,20260430,20260430,F06
20260430,002461,1.8427,0.1026,30.6225,0.1485,-2.42952,-2.42952,20260425,20260425,20260425,F06
20260430,002462,3.48445,-0.7122,50.5035,0.2519,-4.046695,-4.046695,20260430,20260430,20260430,F06
20260430,002463,5.83198,0.2656,48.6431,1.2246,-2.571756,-2.571756,20260423,20260423,20260423,F06
