ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
002472.SZ,20260506,26.6508,3.2834,3.7008,3383589.2127,2979906.5528
601899.SH,20260506,14.7458,4.6112,2.4676,90966834.7219,70478734.3319
000977.SZ,20260506,42.0817,4.821,0.701,10752186.0679,10740142.4689
002050.SZ,20260506,49.5848,6.2112,6.513,20265795.111,17743095.3189
