rebalance_date,ticker,outcome_20d_return,outcome_60d_return,label_known_after,role
20210831,000408,-0.123732,-0.138789,20211202,OUTCOME_LABEL_ONLY
20210831,000409,0.018828,0.108787,20211202,OUTCOME_LABEL_ONLY
20210831,000410,-0.170213,-0.125887,20211202,OUTCOME_LABEL_ONLY
20210831,000411,-0.005051,0.064815,20211202,OUTCOME_LABEL_ONLY
20210831,000415,0.034749,0.166023,20211202,OUTCOME_LABEL_ONLY
20210831,000417,-0.004587,-0.036697,20211202,OUTCOME_LABEL_ONLY
20210831,000419,-0.004587,-0.025229,20211202,OUTCOME_LABEL_ONLY
20210831,000420,0.029979,0.299786,20211202,OUTCOME_LABEL_ONLY
20210831,000421,0.061983,-0.041322,20211202,OUTCOME_LABEL_ONLY
20210831,000422,-0.082251,0.317941,20211202,OUTCOME_LABEL_ONLY
20210831,000423,0.018912,0.200466,20211202,OUTCOME_LABEL_ONLY
20210831,000425,0.072086,-0.069018,20211202,OUTCOME_LABEL_ONLY
20210831,000426,-0.315513,-0.337423,20211202,OUTCOME_LABEL_ONLY
20210831,000428,-0.061047,-0.171512,20211202,OUTCOME_LABEL_ONLY
20210831,000429,0.07215,0.005772,20211202,OUTCOME_LABEL_ONLY
20210831,000430,-0.076285,-0.15257,20211202,OUTCOME_LABEL_ONLY
20210831,000488,0.021628,-0.045802,20211202,OUTCOME_LABEL_ONLY
20210831,000498,-0.134307,-0.093431,20211202,OUTCOME_LABEL_ONLY
20210831,000501,0.00947,-0.057765,20211202,OUTCOME_LABEL_ONLY
20210831,000503,-0.028944,0.295224,20211202,OUTCOME_LABEL_ONLY
20210831,000504,-0.058596,-0.194673,20211202,OUTCOME_LABEL_ONLY
20210831,000505,0.047198,0.020649,20211202,OUTCOME_LABEL_ONLY
20210831,000506,-0.09893,-0.173797,20211202,OUTCOME_LABEL_ONLY
20210831,000507,-0.060976,-0.130081,20211202,OUTCOME_LABEL_ONLY
20210831,000509,0.054313,-0.025559,20211202,OUTCOME_LABEL_ONLY
20210831,000510,-0.054131,-0.146724,20211202,OUTCOME_LABEL_ONLY
20210831,000513,-0.015724,-0.107532,20211202,OUTCOME_LABEL_ONLY
20210831,000514,0.009772,0.019544,20211202,OUTCOME_LABEL_ONLY
20210831,000516,0.069484,0.005634,20211202,OUTCOME_LABEL_ONLY
20210831,000517,-0.004032,-0.052419,20211202,OUTCOME_LABEL_ONLY
20210831,000518,-0.006154,0.012308,20211202,OUTCOME_LABEL_ONLY
20210831,000519,-0.002111,0.507124,20211202,OUTCOME_LABEL_ONLY
20210831,000520,-0.021084,0.0,20211202,OUTCOME_LABEL_ONLY
20210831,000521,-0.035294,0.023529,20211202,OUTCOME_LABEL_ONLY
20210831,000523,-0.009501,-0.130641,20211202,OUTCOME_LABEL_ONLY
20210831,000524,-0.058577,-0.030683,20211202,OUTCOME_LABEL_ONLY
20210831,000525,0.39229,0.777778,20211202,OUTCOME_LABEL_ONLY
20210831,000526,0.069087,-0.113969,20211202,OUTCOME_LABEL_ONLY
20210831,000528,-0.070838,-0.079103,20211202,OUTCOME_LABEL_ONLY
20210831,000529,0.012704,0.029038,20211202,OUTCOME_LABEL_ONLY
20210831,000530,-0.010582,0.031746,20211202,OUTCOME_LABEL_ONLY
20210831,000531,0.109741,0.006165,20211202,OUTCOME_LABEL_ONLY
20210831,000532,-0.223289,-0.227767,20211202,OUTCOME_LABEL_ONLY
20210831,000533,0.086957,0.164596,20211202,OUTCOME_LABEL_ONLY
20210831,000534,-0.156007,-0.001195,20211202,OUTCOME_LABEL_ONLY
20210831,000536,-0.063241,-0.011858,20211202,OUTCOME_LABEL_ONLY
20210831,000537,2.271368,3.081197,20211202,OUTCOME_LABEL_ONLY
20210831,000538,0.102605,-0.002593,20211202,OUTCOME_LABEL_ONLY
20210831,000539,0.304786,0.120907,20211202,OUTCOME_LABEL_ONLY
20210831,000541,-0.057096,-0.092985,20211202,OUTCOME_LABEL_ONLY
20210831,000543,0.177546,0.002611,20211202,OUTCOME_LABEL_ONLY
20210831,000544,0.082671,0.027027,20211202,OUTCOME_LABEL_ONLY
20210831,000545,-0.163303,-0.26055,20211202,OUTCOME_LABEL_ONLY
20210831,000546,0.30559,0.941615,20211202,OUTCOME_LABEL_ONLY
20210831,000547,-0.191957,-0.147453,20211202,OUTCOME_LABEL_ONLY
20210831,000548,0.007937,0.015873,20211202,OUTCOME_LABEL_ONLY
