rebalance_date,ticker,mechanics_score,mechanics_bucket,used_factor_count,used_factors,source_mode,generation_method
20210831,000807,34.3681,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000400,34.2621,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000898,33.4495,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000821,32.8633,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000981,32.0703,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000426,31.8492,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000838,31.7311,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000428,30.9123,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000758,30.1753,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000822,30.0023,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000937,28.6346,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000635,28.2843,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000663,26.9333,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000978,26.8556,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000717,26.7243,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000016,26.2895,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000546,25.8757,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000928,25.7434,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000301,25.4656,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000709,25.4269,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,001207,25.1063,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000060,24.8999,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000695,24.5644,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,001203,24.3995,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000731,24.2373,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000610,24.2161,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000430,24.2094,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000987,24.1482,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000552,24.122,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000655,24.0979,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000593,23.1162,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000969,22.8854,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000931,22.8009,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000878,22.7733,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000820,22.6836,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000059,22.6705,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000738,22.1665,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000630,22.1002,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000980,21.8259,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000516,21.7385,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000920,21.7181,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000612,21.5867,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000615,21.4272,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000510,20.909,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000887,20.5911,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000534,20.299,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000004,20.0649,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000661,19.8498,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000710,19.329,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000912,19.1953,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000830,19.1591,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000790,19.1304,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000966,18.9695,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000908,18.6647,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000963,18.3916,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000698,17.8625,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000782,17.6737,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
20210831,000407,17.5204,HIGH,2,"momentum,turnover",REAL_HISTORICAL_FEATURES_ONLY,V13_5_3_MONTHLY_REBALANCE_MECHANICS_BUCKET
