rebalance_date,ticker,short_rank,medium_rank,rank_acceleration,turnover,price_momentum_20d,price_momentum_60d,known_at_max,feature_source_mode
20210831,000088,0.028249,0.009242,0.019,0.006353,0.028249,0.009242,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000089,0.024148,-0.080357,0.1045,0.003833,0.024148,-0.080357,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000090,0.067061,-0.06563,0.1327,0.007437,0.067061,-0.06563,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000096,0.024823,-0.07074,0.0956,0.002092,0.024823,-0.07074,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000099,0.06456,0.170695,-0.1061,0.012321,0.06456,0.170695,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000100,-0.048064,-0.09172,0.0437,0.020492,-0.048064,-0.09172,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000151,0.109164,0.081472,0.0277,0.023632,0.109164,0.081472,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000153,0.020121,0.143179,-0.1231,0.049854,0.020121,0.143179,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000155,0.7325,1.421384,-0.6889,0.078488,0.7325,1.421384,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000156,0.014085,-0.0625,0.0766,0.005699,0.014085,-0.0625,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000157,-0.069658,-0.235694,0.166,0.02711,-0.069658,-0.235694,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000158,-0.13697,-0.306719,0.1697,0.03976,-0.13697,-0.306719,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000159,0.155059,0.373437,-0.2184,0.027651,0.155059,0.373437,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000166,0.06576,0.0,0.0658,0.004026,0.06576,0.0,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000301,0.252127,0.902468,-0.6503,0.025295,0.252127,0.902468,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000333,-0.069374,-0.140401,0.071,0.004686,-0.069374,-0.140401,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000338,0.050785,0.11562,-0.0648,0.026972,0.050785,0.11562,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000400,0.332445,0.520913,-0.1885,0.101763,0.332445,0.520913,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000401,0.011952,-0.029052,0.041,0.013486,0.011952,-0.029052,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000402,0.130662,-0.098611,0.2293,0.021275,0.130662,-0.098611,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000403,-0.105483,-0.135866,0.0304,0.003692,-0.105483,-0.135866,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000404,0.087193,-0.012376,0.0996,0.020276,0.087193,-0.012376,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000407,0.173804,0.061503,0.1123,0.013996,0.173804,0.061503,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000408,0.121101,0.396252,-0.2752,0.080511,0.121101,0.396252,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000409,-0.006237,-0.059055,0.0528,0.009678,-0.006237,-0.059055,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000410,0.382353,0.359036,0.0233,0.018784,0.382353,0.359036,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000411,-0.097264,-0.16338,0.0661,0.006416,-0.097264,-0.16338,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000415,0.019685,0.003876,0.0158,0.008183,0.019685,0.003876,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000417,0.028302,-0.097308,0.1256,0.007948,0.028302,-0.097308,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000419,0.018692,-0.022422,0.0411,0.006385,0.018692,-0.022422,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000420,0.567114,0.477848,0.0893,0.023865,0.567114,0.477848,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000421,0.056769,-0.097015,0.1538,0.005765,0.056769,-0.097015,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000422,1.299779,2.647368,-1.3476,0.111059,1.299779,2.647368,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000423,0.08252,-0.101203,0.1837,0.007485,0.08252,-0.101203,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000425,0.033281,0.006173,0.0271,0.055215,0.033281,0.006173,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000426,0.311494,0.293651,0.0178,0.069981,0.311494,0.293651,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000428,0.307985,0.178082,0.1299,0.011385,0.307985,0.178082,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000429,0.020619,-0.040166,0.0608,0.003497,0.020619,-0.040166,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000430,0.240741,0.137736,0.103,0.01353,0.240741,0.137736,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000488,0.053619,-0.210843,0.2645,0.034091,0.053619,-0.210843,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000498,0.013314,0.195462,-0.1821,0.062035,0.013314,0.195462,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000501,0.002849,-0.132293,0.1351,0.011806,0.002849,-0.132293,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000503,-0.018466,-0.146914,0.1284,0.007932,-0.018466,-0.146914,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000504,0.019753,0.015241,0.0045,0.00441,0.019753,0.015241,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000505,-0.02726,-0.096,0.0687,0.007288,-0.02726,-0.096,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000506,0.109792,0.739535,-0.6297,0.069442,0.109792,0.739535,20210831,REAL_HISTORICAL_PRICE_BARS
