factor_id,ticker,rebalance_date,score,rank,bucket,score_available_at,source_artifact_ref,signal_role
F56,000977,2026-05-06,0.608578,2,2,2026-05-06,lane_formula_contract,FACTOR_SIGNAL_ONLY
F56,002050,2026-05-06,0.449841,5,5,2026-05-06,lane_formula_contract,FACTOR_SIGNAL_ONLY
F56,002472,2026-05-06,0.477871,4,4,2026-05-06,lane_formula_contract,FACTOR_SIGNAL_ONLY
F56,588000,2026-05-06,0.518992,3,3,2026-05-06,lane_formula_contract,FACTOR_SIGNAL_ONLY
F56,601899,2026-05-06,0.771179,1,1,2026-05-06,lane_formula_contract,FACTOR_SIGNAL_ONLY
