ticker,name,sector,industry,sector_code,theme,market,list_date,source_file
300423,昇辉科技,电气设备,电气设备,电气设备,,,20150217,data/tushare/stock_basic.csv
300537,广信材料,染料涂料,染料涂料,染料涂料,,,20160830,data/tushare/stock_basic.csv
603306,华懋科技,汽车配件,汽车配件,汽车配件,,,20140926,data/tushare/stock_basic.csv
603169,兰石重装,专用机械,专用机械,专用机械,,,20141009,data/tushare/stock_basic.csv
603859,能科科技,软件服务,软件服务,软件服务,,,20161021,data/tushare/stock_basic.csv
603878,武进不锈,钢加工,钢加工,钢加工,,,20161219,data/tushare/stock_basic.csv
002772,众兴菌业,种植业,种植业,种植业,,,20150626,data/tushare/stock_basic.csv
002828,贝肯能源,石油开采,石油开采,石油开采,,,20161208,data/tushare/stock_basic.csv
603033,三维股份,橡胶,橡胶,橡胶,,,20161207,data/tushare/stock_basic.csv
603311,金海高科,家用电器,家用电器,家用电器,,,20150518,data/tushare/stock_basic.csv
002856,*ST美芝,装修装饰,装修装饰,装修装饰,,,20170320,data/tushare/stock_basic.csv
603028,赛福天,钢加工,钢加工,钢加工,,,20160331,data/tushare/stock_basic.csv
603036,如通股份,专用机械,专用机械,专用机械,,,20161209,data/tushare/stock_basic.csv
603838,*ST四通,家居用品,家居用品,家居用品,,,20150701,data/tushare/stock_basic.csv
300473,德尔股份,汽车配件,汽车配件,汽车配件,,,20150612,data/tushare/stock_basic.csv
603602,纵横通信,通信设备,通信设备,通信设备,,,20170810,data/tushare/stock_basic.csv
300474,景嘉微,元器件,元器件,元器件,,,20160331,data/tushare/stock_basic.csv
300482,万孚生物,医疗保健,医疗保健,医疗保健,,,20150630,data/tushare/stock_basic.csv
300497,富祥股份,化学制药,化学制药,化学制药,,,20151222,data/tushare/stock_basic.csv
603066,音飞储存,仓储物流,仓储物流,仓储物流,,,20150611,data/tushare/stock_basic.csv
603027,千禾味业,食品,食品,食品,,,20160307,data/tushare/stock_basic.csv
603987,康德莱,医疗保健,医疗保健,医疗保健,,,20161121,data/tushare/stock_basic.csv
603678,火炬电子,元器件,元器件,元器件,,,20150126,data/tushare/stock_basic.csv
601127,赛力斯,汽车整车,汽车整车,汽车整车,,,20160615,data/tushare/stock_basic.csv
300549,优德精密,专用机械,专用机械,专用机械,,,20160930,data/tushare/stock_basic.csv
300600,国瑞科技,船舶,船舶,船舶,,,20170125,data/tushare/stock_basic.csv
300586,美联新材,化工原料,化工原料,化工原料,,,20170104,data/tushare/stock_basic.csv
002829,星网宇达,航空,航空,航空,,,20161213,data/tushare/stock_basic.csv
603258,电魂网络,互联网,互联网,互联网,,,20161026,data/tushare/stock_basic.csv
603319,美湖股份,汽车配件,汽车配件,汽车配件,,,20161130,data/tushare/stock_basic.csv
603568,伟明环保,环境保护,环境保护,环境保护,,,20150528,data/tushare/stock_basic.csv
603444,吉比特,互联网,互联网,互联网,,,20170104,data/tushare/stock_basic.csv
